Orðflokkur;mark;íslensk skýring;ensk skýring;
lo;ESB-KK-ÞGFET;efsta stig sterk beyging karlkyn þágufall eintölu;superlative indefinite masculine dative singular;
lo;ESB-KK-ÞGFFT;efsta stig sterk beyging karlkyn þágufall fleirtölu;superlative indefinite masculine dative plural;
lo;ESB-KVK-EFET;efsta stig sterk beyging kvenkyn eignarfall eintölu;superlative indefinite feminine genitive singular;
lo;ESB-KVK-EFFT;efsta stig sterk beyging kvenkyn eignarfall fleirtölu;superlative indefinite feminine genitive plural;
lo;ESB-KVK-NFET;efsta stig sterk beyging kvenkyn nefnifall eintölu;superlative indefinite feminine nominative singular;
lo;ESB-KVK-NFFT;efsta stig sterk beyging kvenkyn nefnifall fleirtölu;superlative indefinite feminine nominative plural;
lo;ESB-KVK-ÞFET;efsta stig sterk beyging kvenkyn þolfall eintölu;superlative indefinite feminine accusative singular;
lo;ESB-KVK-ÞFFT;efsta stig sterk beyging kvenkyn þolfall fleirtölu;superlative indefinite feminine accusative plural;
lo;ESB-KVK-ÞGFET;efsta stig sterk beyging kvenkyn þágufall eintölu;superlative indefinite feminine dative singular;
lo;ESB-KVK-ÞGFFT;efsta stig sterk beyging kvenkyn þágufall fleirtölu;superlative indefinite feminine dative plural;
lo;EVB-HK-EFET;efsta stig veik beyging hvorugkyn eignarfall eintölu;superlative indefinite neuter genitive singular;
lo;EVB-HK-EFFT;efsta stig veik beyging hvorugkyn eignarfall fleirtölu;superlative indefinite neuter genitive plural;
lo;EVB-HK-NFET;efsta stig veik beyging hvorugkyn nefnifall eintölu;superlative indefinite neuter nominative singular;
lo;EVB-HK-NFFT;efsta stig veik beyging hvorugkyn nefnifall fleirtölu;superlative indefinite neuter nominative plural;
lo;EVB-HK-ÞFET;efsta stig veik beyging hvorugkyn þolfall eintölu;superlative indefinite neuter accusative singular;
lo;EVB-HK-ÞFFT;efsta stig veik beyging hvorugkyn þolfall fleirtölu;superlative indefinite neuter accusative plural;
lo;EVB-HK-ÞGFET;efsta stig veik beyging hvorugkyn þágufall eintölu;superlative indefinite neuter dative singular;
