Orðflokkur;mark;íslensk skýring;ensk skýring;
so;OP-ÞGF-MM-FH-ÞT-2P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur þátíð 2. persóna eintölu;impersonal dative subject middle voice indicative past tense 2nd person singular;
so;OP-ÞGF-MM-FH-ÞT-2P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur þátíð 2. persóna fleirtölu;impersonal dative subject middle voice indicative past tense 2nd person plural;
so;OP-ÞGF-MM-FH-ÞT-3P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur þátíð 3. persóna eintölu;impersonal dative subject middle voice indicative past tense 3rd person singular;
so;OP-ÞGF-MM-FH-ÞT-3P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur þátíð 3. persóna fleirtölu;impersonal dative subject middle voice indicative past tense 3rd person plural;
so;OP-ÞGF-MM-VH-NT-1P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur nútíð 1. persóna eintölu;impersonal dative subject middle voice subjunctive present tense 1st person singular;
so;OP-ÞGF-MM-VH-NT-1P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur nútíð 1. persóna fleirtölu;impersonal dative subject middle voice subjunctive present tense 1st person plural;
so;OP-ÞGF-MM-VH-NT-2P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur nútíð 2. persóna eintölu;impersonal dative subject middle voice subjunctive present tense 2nd person singular;
so;OP-ÞGF-MM-VH-NT-2P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur nútíð 2. persóna fleirtölu;impersonal dative subject middle voice subjunctive present tense 2nd person plural;
so;OP-ÞGF-MM-VH-NT-3P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur nútíð 3. persóna eintölu;impersonal dative subject middle voice subjunctive present tense 3rd person singular;
so;OP-ÞGF-MM-VH-NT-3P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur nútíð 3. persóna fleirtölu;impersonal dative subject middle voice subjunctive present tense 3rd person plural;
so;OP-ÞGF-MM-VH-ÞT-1P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur þátíð 1. persóna fleirtölu;impersonal dative subject middle voice subjunctive past tense 1st person plural;
so;OP-ÞGF-MM-VH-ÞT-1P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur þátíð 1. persóna fleirtölu;impersonal dative subject middle voice subjunctive past tense 1st person plural;
so;OP-ÞGF-MM-VH-ÞT-2P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur þátíð 2. persóna eintölu;impersonal dative subject middle voice subjunctive past tense 2nd person singular;
so;OP-ÞGF-MM-VH-ÞT-2P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur þátíð 2. persóna fleirtölu;impersonal dative subject middle voice subjunctive past tense 2nd person plural;
so;OP-ÞGF-MM-VH-ÞT-3P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur þátíð 3. persóna eintölu;impersonal dative subject middle voice subjunctive past tense 3rd person singular;
so;OP-ÞGF-MM-VH-ÞT-3P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd viðtengingarháttur þátíð 3. persóna fleirtölu;impersonal dative subject middle voice subjunctive past tense 3rd person plural;
so;SP-GM-FH-NT-2P-ET;spurnarmynd germynd framsöguháttur nútíð 2. persóna eintala;question form active voice indicative present tense 2nd person singular;
so;SP-GM-FH-NT-2P-FT;spurnarmynd germynd framsöguháttur nútíð 2. persóna fleirtala;question form active voice indicative present tense 2nd person plural;
so;SP-GM-FH-ÞT-2P-ET;spurnarmynd germynd framsöguháttur þátíð 2. persóna eintala;question form active voice indicative past tense 2nd person singular;
so;SP-GM-FH-ÞT-2P-FT;spurnarmynd germynd framsöguháttur þátíð 2. persóna fleirtala;question form active voice indicative past tense 2nd person plural;
so;SP-GM-VH-NT-2P-ET;spurnarmynd germynd viðtengingarháttur nútíð 2. persóna eintala;question form active voice subjunctive present tense 2nd person singular;
so;SP-GM-VH-NT-2P-FT;spurnarmynd germynd viðtengingarháttur nútíð 2. persóna fleirtala;question form active voice subjunctive present tense 2nd person plural;
so;SP-GM-VH-ÞT-2P-ET;spurnarmynd germynd viðtengingarháttur þátíð 2. persóna eintala;question form active voice subjunctive past tense 2nd person singular;
so;SP-GM-VH-ÞT-2P-FT;spurnarmynd germynd viðtengingarháttur þátíð 2. persóna fleirtala;question form active voice subjunctive past tense 2nd person plural;
so;SP-MM-FH-NT-2P-ET;spurnarmynd germynd framsöguháttur nútíð 2. persóna eintala;question form active voice indicative present tense 2nd person singular;
so;SP-MM-FH-ÞT-2P-ET;spurnarmynd germynd framsöguháttur þátíð 2. persóna eintala;question form active voice indicative past tense 2nd person singular;
so;SP-MM-VH-ÞT-2P-ET;spurnarmynd germynd viðtengingarháttur þátíð 2. persóna eintala;question form active voice subjunctive past tense 2nd person singular;
so;SP-MM-VH-NT-2P-ET;spurnarmynd germynd viðtengingarháttur nútíð 2. persóna eintala;question form active voice subjunctive present tense 2nd person singular;
to;HK-EFET;hvorugkyn eignarfall eintölu;neuter genitive singular;
to;HK-EFFT;hvorugkyn eignarfall fleirtölu;neuter genitive plural;
to;HK-NFET;hvorugkyn nefnifall eintölu;neuter nominative singular;
to;HK-NFFT;hvorugkyn nefnifall fleirtölu;neuter nominative plural;
to;HK-ÞFET;hvorugkyn þolfall eintölu;neuter accusative singular;
to;HK-ÞFFT;hvorugkyn þolfall fleirtölu;neuter accusative plural;
to;HK-ÞGFET;hvorugkyn þágufall eintölu;neuter dative singular;
to;HK-ÞGFFT;hvorugkyn þágufall fleirtölu;neuter dative plural;
to;KK-EFET;karlkyn eignarfall eintölu;masculine genitive singular;
to;KK-EFFT;karlkyn eignarfall fleirtölu;masculine genitive plural;
to;KK-NFET;karlkyn nefnifall eintölu;masculine nominative singular;
to;KK-NFFT;karlkyn nefnifall fleirtölu;masculine nominative plural;
to;KK-ÞFET;karlkyn þolfall eintölu;masculine accusative singular;
to;KK-ÞFFT;karlkyn þolfall fleirtölu;masculine accusative plural;
to;KK-ÞGFET;karlkyn þágufall eintölu;masculine dative singular;
to;KK-ÞGFFT;karlkyn þágufall fleirtölu;masculine dative plural;
to;KVK-EFET;kvenkyn eignarfall eintölu;feminine genitive singular;
to;KVK-EFFT;kvenkyn eignarfall fleirtölu;feminine genitive plural;
to;KVK-NFET;kvenkyn nefnifall eintölu;feminine nominative singular;
to;KVK-NFFT;kvenkyn nefnifall fleirtölu;feminine nominative plural;
to;KVK-ÞFET;kvenkyn þolfall eintölu;feminine accusative singular;
to;KVK-ÞFFT;kvenkyn þolfall fleirtölu;feminine accusative plural;
to;KVK-ÞGFET;kvenkyn þágufall eintölu;feminine dative singular;
to;KVK-ÞGFFT;kvenkyn þágufall fleirtölu;feminine dative plural;
